Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code ;Evolution 2021 vs. 2020;Nom du site de baignade;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89);;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207262D007001;;pas de changement;LA BORNE AU CAMPING LE CEYTROU;04/07/2016;rivière;3.98134000000;44.60069000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207267D007545;;pas de changement;LE LAC DE ST MARTIAL;01/01/1991;lac;4.27926000000;44.86679000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207268D007170;;pas de changement;L'ARDECHE A LA PLAGE DE SAUZE;01/01/1991;rivière;4.55198000000;44.31240000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207268D007175;;pas de changement;L'ARDECHE A LA PLAGE DU GRAIN DE SEL;01/01/1991;rivière;4.56139000000;44.30254000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207269D007502;;pas de changement;LA SALIOUSE A LA PLAGE DE ST MARTIN;01/01/1991;lac;4.36691000000;44.94150000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207304D007851;;pas de changement;L'ARDECHE AVAL PONT DE SALAVAS;01/07/2012;rivière;4.38549000000;44.39759000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207306D007789;;pas de changement;L'ARDECHE A LA PLAGE DE SAMPZON;01/01/2006;rivière;4.35469000000;44.42646000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207315D007342;;pas de changement;LE LIGNON A LA PLAGE COMMUNALE;01/01/1994;rivière;4.19797000000;44.62986000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207322D007010;;pas de changement;L'ARDECHE AU PONT DU DIABLE;01/01/1991;rivière;4.22138000000;44.67128000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;7;FRK2207330D007145;;pas de changement;L'ARDECHE AU LIEU DIT LES TUNNELS;01/01/1991;rivière;4.40633000000;44.38900000000;;;;;;;;;
