Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103221D003050;08/07/2022;61;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103221D003050;19/07/2022;15;77;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103221D003050;04/08/2022;77;143;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103221D003050;17/08/2022;46;93;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;14/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;04/07/2022;77;668;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;13/07/2022;15;232;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;20/07/2022;215;127;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;28/07/2022;30;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;09/08/2022;15;30;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;24/08/2022;77;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;31/08/2022;767;46;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;07/09/2022;45;127;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103310D003003;20/09/2022;15;110;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103312D003090;17/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103312D003090;06/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103312D003090;20/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103312D003090;10/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;003;FRK1103312D003090;23/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207011D007355;20/06/2022;371;234;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207011D007355;05/07/2022;109;110;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207011D007355;18/07/2022;30;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207011D007355;01/08/2022;30;160;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207011D007355;16/08/2022;210;177;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207012D007560;20/06/2022;15;61;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207012D007560;06/07/2022;94;94;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207012D007560;18/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207012D007560;02/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207012D007560;22/08/2022;110;289;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207023D007085;16/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207023D007085;11/07/2022;15;61;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207023D007085;25/07/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207023D007085;09/08/2022;77;46;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207023D007085;22/08/2022;30;93;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007275;15/06/2022;109;30;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007275;11/07/2022;110;61;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007275;26/07/2022;144;46;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007275;08/08/2022;15;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007275;23/08/2022;61;30;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007280;15/06/2022;15;30;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007280;11/07/2022;30;110;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007280;26/07/2022;93;46;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007280;08/08/2022;15;110;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207031D007280;23/08/2022;30;109;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207050D007260;15/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207050D007260;11/07/2022;61;109;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207050D007260;26/07/2022;77;30;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207050D007260;08/08/2022;109;46;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207050D007260;23/08/2022;61;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207058D007456;15/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207058D007456;11/07/2022;144;127;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207058D007456;26/07/2022;109;46;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207058D007456;08/08/2022;61;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207058D007456;23/08/2022;46;127;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207061D007092;16/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207061D007092;11/07/2022;30;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207061D007092;25/07/2022;161;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207061D007092;09/08/2022;93;15;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207061D007092;22/08/2022;46;194;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207064D007432;01/08/2022;0;0;Prélèvement manquant;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207071D007910;14/06/2022;15;15;Prélèvement de pré-saison;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207071D007910;04/07/2022;61;30;;;;
2022;Auvergne-Rhône-Alpes;007;FRK2207071D007910;18/07/2022;30;30;;;;
